SUNo|GUNo|DenRatio|NLC|Slope|CL|A2
SU2105|GU2104|0.07|1.00|8.00|1.00|1370.43
SU2117|GU2111|0.03|1.00|16.00|1.00|2491.74
SU2131|GU2119|0.26|2.00|3.00|2.00|371.47
SU2134|GU2119|0.08|2.00|3.00|2.00|1193.02
SU2135|GU2119|0.15|1.00|3.00|1.00|637.29
SU2138|GU2119|0.09|1.00|3.00|1.00|1014.26
SU2139|GU2118|0.19|1.00|5.00|1.00|500.59
SU2148|GU2125|0.10|1.00|12.00|1.00|964.38
SU2151|GU2128||1.00|5.00|1.00|
SU2172|GU2142|0.04|1.00|2.00|1.00|2094.73
SU2173|GU2142|0.04|1.00|2.00|1.00|2127.56
SU2174|GU2143|0.09|1.00|5.00|1.00|1016.81
SU2175|GU2143|0.06|1.00|5.00|1.00|1640.66
SU2176|GU2143|0.13|2.00|5.00|2.00|724.39
SU2177|GU2143|0.09|3.00|5.00|3.00|1055.18
SU2178|GU2143|0.09|1.00|5.00|1.00|1014.61
SU2180|GU2143|0.10|2.00|5.00|2.00|947.99
SU2182|GU2144|0.07|1.00|3.00|1.00|1305.29
SU2187|GU2147|0.37|29.00|8.00|8.00|953.89
SU2190|GU2149|0.08|1.00|10.00|1.00|1200.05
SU2384|GU2377|0.08|1.00|5.00|1.00|1133.11
SU2385|GU2378|0.09|5.00|5.00|5.00|1036.80
SU2386|GU2378|0.12|2.00|5.00|2.00|818.62
SU2387|GU2379|0.14|3.00|5.00|3.00|702.82
SU2388|GU2380|0.13|2.00|5.00|2.00|755.90
SU2389|GU2380|0.12|2.00|5.00|2.00|798.49
SU2390|GU2380|0.08|5.00|5.00|5.00|1153.39
SU2601|GU2601|0.35|25.00|1.00|25.00|280.93
SU2602|GU2602|0.28|2.00|1.00|2.00|356.61
SU2603|GU2602|0.50|2.00|1.00|2.00|196.54
SU2604|GU2602|0.62|2.00|1.00|2.00|160.76
SU2632|GU2655|0.50|2.00|1.00|2.00|199.25
SU2633|GU2659|0.18|1.00|4.00|1.00|540.06
SU2634|GU2660|0.15|1.00|3.00|1.00|643.10
SU2635|GU2662|0.14|1.00|1.00|1.00|704.22
SU2641|GU2668|0.50|1.00|2.00|1.00|197.68
SU2901|GU2901|0.06|5.00|16.00|5.00|1482.83
SU2904|GU2905|0.11|3.00|6.00|3.00|852.06
SU2906|GU2907|0.13|1.00|14.00|1.00|712.13
SU2909|GU2910|0.08|3.00|2.00|3.00|1182.72
SU2910|GU2911||1.00|2.00|1.00|
SU2911|GU2912|0.13|2.00|3.00|2.00|732.91
SU2913|GU2914|0.06|5.00|2.00|5.00|1605.05
