ISZ|SIANo|SUNo|SumOfNoPiece|Tile
Karkotis|TS15|SU2136|1.00|Tile
Karkotis|TS15|SU2137|1.00|Tile
Karkotis|TS15|SU2138|1.00|Tile
Karkotis|TS15|SU2139|7.00|Tile
Karkotis|TS15|SU2140|10.00|Tile
Karkotis|TS15|SU2141|13.00|Tile
Atsas||SU2142|1.00|Tile
Atsas|TS18|SU2160|25.00|Tile
Atsas|TS18|SU2161|11.00|Tile
Atsas|TS18|SU2162|10.00|Tile
Atsas|TS18|SU2163|4.00|Tile
Atsas|TS18|SU2164|9.00|Tile
Atsas||SU2176|1.00|Tile
Atsas||SU2177|1.00|Tile
Atsas||SU2178|1.00|Tile
Atsas|TS20|SU2187|31.00|Tile
Karkotis|TS09|SU2189|2.00|Tile
Karkotis|TS09|SU2190|2.00|Tile
Karkotis|TS09|SU2191|8.00|Tile
Asinou|TS08|SU2301|1.00|Tile
Asinou|TS08|SU2302|12.00|Tile
Asinou|TS08|SU2303|3.00|Tile
Asinou|TS08|SU2305|6.00|Tile
Asinou|TS17|SU2326|1.00|Tile
Asinou|TS17|SU2327|2.00|Tile
Asinou||SU2351|1.00|Tile
Xyliatos|TS05|SU2603|3.00|Tile
Xyliatos|TS05|SU2604|15.00|Tile
Xyliatos|TS05|SU2605|22.00|Tile
Xyliatos|TS05|SU2606|7.00|Tile
Xyliatos|TS05
TS05|SU2617|1.00|Tile
Xyliatos|TS05
TS05|SU2620|1.00|Tile
Xyliatos|TS05
TS05|SU2621|1.00|Tile
Xyliatos|TS05
TS05|SU2624|6.00|Tile
Xyliatos|TS05
TS05|SU2625|2.00|Tile
Xyliatos|TS05|SU2632|30.00|Tile
Xyliatos|TS05|SU2633|3.00|Tile
Xyliatos|TS05|SU2634|11.00|Tile
Xyliatos|TS05|SU2635|16.00|Tile
Xyliatos|TS05|SU2636|5.00|Tile
Xyliatos|TS05|SU2637|4.00|Tile
Xyliatos|TS05|SU2638|7.00|Tile
Xyliatos|TS05|SU2639|10.00|Tile
Xyliatos|TS05|SU2640|5.00|Tile
Xyliatos|TS05|SU2641|13.00|Tile
Xyliatos|TS05|SU2642|15.00|Tile
Xyliatos|TS05|SU2643|6.00|Tile
Xyliatos|TS05|SU2644|5.00|Tile
Xyliatos|TS05|SU2645|2.00|Tile
Xyliatos|TS05|SU2646|2.00|Tile
Xyliatos|TS05|SU2647|3.00|Tile
Xyliatos|TS05|SU2648|13.00|Tile
Xyliatos|TS05|SU2652|5.00|Tile
Xyliatos|TS05|SU2653|7.00|Tile
Xyliatos|TS05|SU2654|3.00|Tile
Xyliatos|TS05|SU2655|5.00|Tile
Xyliatos|TS05|SU2656|7.00|Tile
Xyliatos|TS05|SU2657|11.00|Tile
Xyliatos|TS05|SU2658|3.00|Tile
Xyliatos|TS05|SU2659|13.00|Tile
Xyliatos|TS05|SU2660|9.00|Tile
Xyliatos|TS05
TS05|SU2669|2.00|Tile
Extensive||SU2909|1.00|Tile
Extensive||SU2914|10.00|Tile
Extensive||SU2915|6.00|Tile
Extensive||SU2925|4.00|Tile
Extensive||SU2926|5.00|Tile
Extensive||SU2927|10.00|Tile
Extensive||SU2928|4.00|Tile
Extensive||SU2948|1.00|Tile
Extensive||SU2950|1.00|Tile
Extensive||SU2951|1.00|Tile
Karkotis|TS11|SU2963|1.00|Tile
