ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
Extensive||SU2925|2.00|MM
Extensive||SU2925|5.00|MOD
Extensive||SU2925|6.00|OTTMODII
Extensive||SU2925|1.00|RM
Extensive||SU2926|3.00|HA
Extensive||SU2926|5.00|MOD
Extensive||SU2926|2.00|OTTMODII
Extensive||SU2927|5.00|HA
Extensive||SU2927|5.00|HIS
Extensive||SU2927|3.00|MEDUIII
Extensive||SU2927|1.00|MEDVOTT
Extensive||SU2927|5.00|MM
Extensive||SU2927|9.00|MOD
Extensive||SU2927|1.00|OTTMODI
Extensive||SU2927|4.00|OTTMODII
Extensive||SU2928|6.00|HIS
Extensive||SU2928|2.00|LChPh
Extensive||SU2928|1.00|LHER
Extensive||SU2928|1.00|MEDF
Extensive||SU2928|1.00|MEDVOTT
Extensive||SU2928|2.00|MM
Extensive||SU2928|5.00|MOD
Extensive||SU2928|1.00|OTTMODI
Extensive||SU2928|2.00|OTTMODII
Extensive||SU2934|1.00|HIS
Extensive||SU2935|1.00|HIS
Extensive||SU2936|1.00|OTTMODI
Extensive||SU2944|1.00|HA
Extensive||SU2944|2.00|HIS
Extensive||SU2944|3.00|HR
Extensive||SU2945|1.00|HA
Extensive||SU2945|1.00|HIS
Extensive||SU2945|1.00|HR
Extensive||SU2948|2.00|HA
Extensive||SU2948|1.00|MOD
Extensive||SU2950|1.00|MOD
Extensive||SU2951|1.00|OTTMODII
Extensive||SU2951|1.00|RM
Karkotis|TS11|SU2963|12.00|HA
Karkotis|TS11|SU2963|1.00|MM
Karkotis|TS11|SU2963|3.00|OTTMODII
Karkotis|TS11|SU2963|2.00|ROM
Karkotis|TS11|SU2963|1.00|UN
Karkotis|TS11|SU2964|26.00|HA
Karkotis|TS11|SU2964|7.00|HIS
Karkotis|TS11|SU2964|1.00|HR
Karkotis|TS11|SU2964|1.00|MEDUIII
Karkotis|TS11|SU2964|4.00|MEDVOTT
Karkotis|TS11|SU2964|5.00|MM
Karkotis|TS11|SU2964|11.00|MOD
Karkotis|TS11|SU2964|7.00|OTTMODII
Karkotis|TS11|SU2964|5.00|PoBAR
Karkotis|TS11|SU2964|3.00|ROM
Karkotis|TS11|SU2965|2.00|HA
Karkotis|TS11|SU2965|6.00|HIS
Karkotis|TS11|SU2965|1.00|PoBAR
Karkotis|TS11|SU2965|1.00|RM
Mandres||SU3000|1.00|HIS
Mandres||SU3000|1.00|MM
Mandres||SU3001|2.00|BA
Mandres||SU3002|1.00|PeB
Mandres||SU3002|1.00|PoB
Mandres||SU3003|2.00|BA
Mandres||SU3003|3.00|MM
Mandres||SU3004|2.00|PeB
Mandres||SU3004|1.00|PoBAR
Mandres||SU3005|6.00|BA
Mandres||SU3005|2.00|CHAL
Mandres||SU3005|6.00|PeB
Mandres||SU3005|3.00|PoB
Mandres||SU3006|4.00|BA
Mandres||SU3006|1.00|MM
Mandres||SU3006|3.00|PeB
Mandres||SU3006|1.00|PoBAR
Mandres||SU3007|5.00|MM
Mandres||SU3007|1.00|OTTMODI
Mandres||SU3008|4.00|BA
Mandres||SU3008|1.00|GAC
Mandres||SU3008|1.00|HA
Mandres||SU3008|2.00|MED
Mandres||SU3008|6.00|MM
Mandres||SU3008|1.00|PeB
Mandres||SU3009|1.00|MM
Mandres||SU3009|3.00|PeB
Mandres||SU3009|2.00|PoBAR
Mandres||SU3009|1.00|UN
Mandres||SU3010|1.00|MEDUI
Mandres||SU3010|4.00|MM
Mandres|TS07|SU3012|2.00|MM
Mandres|TS07|SU3012|1.00|MOD
Mandres|TS07|SU3013|1.00|LR
Mandres|TS07|SU3013|4.00|MM
Mandres|TS07|SU3013|1.00|OTTMODI
Mandres|TS07|SU3014|1.00|AC
Mandres|TS07|SU3014|1.00|GAC
Mandres|TS07|SU3014|1.00|HA
Mandres|TS07|SU3014|2.00|PoBAR
Mandres|TS07|SU3015|2.00|HA
Mandres|TS07|SU3015|1.00|PeB
Mandres|TS07|SU3015|6.00|PoBAR
Mandres|TS07|SU3016|11.00|HA
Mandres|TS07|SU3016|15.00|HIS
Mandres|TS07|SU3016|6.00|HR
Mandres|TS07|SU3016|2.00|LR
Mandres|TS07|SU3016|3.00|MEDUIII
Mandres|TS07|SU3016|4.00|MM
Mandres|TS07|SU3016|8.00|PeB
Mandres||SU3017|6.00|HA
Mandres||SU3017|1.00|HEL
Mandres||SU3017|1.00|HR
Mandres||SU3017|2.00|MM
Mandres||SU3018|1.00|BA
Mandres||SU3018|23.00|HA
