ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Type
Karkotis||SU1037|1.00|Rec|NotDho
Karkotis||SU1038|1.00|Cha|NotDho
Karkotis||SU1038|1.00|Dho|Dho
Karkotis||SU1038|1.00|End|NotDho
Karkotis||SU1039|2.00|Dho|Dho
Karkotis||SU1040|1.00|Dho|Dho
Karkotis||SU1042|1.00|Abr|NotDho
Karkotis||SU1042|1.00|BaT|NotDho
Karkotis||SU1042|1.00|Dho|Dho
Karkotis||SU1042|1.00|F-3|NotDho
Karkotis||SU1043|5.00|Dho|Dho
Karkotis||SU1044|1.00|BlFr|NotDho
Karkotis||SU1044|1.00|Frg|NotDho
Karkotis||SU1047|1.00|Dho|Dho
Karkotis||SU1048|1.00||NotDho
Karkotis||SU1048|2.00|Dho|Dho
Karkotis||SU1048|1.00|Gen|NotDho
Karkotis||SU1049|3.00|Dho|Dho
Karkotis||SU1049|1.00|Dir|NotDho
Karkotis|TS09|SU1053|1.00|Gen|NotDho
Karkotis|TS09|SU1055|1.00|BlFr|NotDho
Karkotis|TS09|SU1055|2.00|Chu|NotDho
Karkotis|TS09|SU1055|1.00|Mis|NotDho
Karkotis|TS09|SU1057|1.00|Dho|Dho
Karkotis|TS09|SU1058|1.00|BlFr|NotDho
Karkotis|TS09|SU1058|1.00|Chu|NotDho
Karkotis|TS09|SU1058|1.00|Cof|NotDho
Karkotis|TS09|SU1059|1.00|BlFr|NotDho
Karkotis|TS09|SU1059|1.00|Chu|NotDho
Karkotis|TS09|SU1059|1.00|Gen|NotDho
Karkotis|TS09|SU1060|1.00|Dho|Dho
Karkotis|TS09|SU1060|1.00|Dir|NotDho
Karkotis|TS09|SU1060|1.00|Gen|NotDho
Karkotis|TS09|SU1061|1.00|BlFr|NotDho
Karkotis|TS09|SU1061|1.00|Cha|NotDho
Karkotis|TS09|SU1061|1.00|Dho|Dho
Karkotis|TS09|SU1061|4.00|Gen|NotDho
Karkotis|TS09|SU1061|1.00|Notsing|NotDho
Karkotis|TS09|SU1062|1.00|Cha|NotDho
Karkotis|TS09|SU1063|1.00|BlFr|NotDho
Karkotis|TS09|SU1063|1.00|Dho|Dho
Karkotis|TS09|SU1063|1.00|F-3|NotDho
Karkotis|TS09|SU1064|1.00|Dho|Dho
Karkotis|TS09|SU1067|1.00||NotDho
Karkotis|TS13|SU1072|1.00||NotDho
Karkotis|TS13|SU1072|1.00|F-3|NotDho
Karkotis|TS13|SU1072|1.00|Gen|NotDho
Karkotis|TS13|SU1073|1.00|F-2|NotDho
Karkotis|TS13|SU1074|1.00|Ch-3|NotDho
Karkotis|TS13|SU1074|2.00|Chu|NotDho
Karkotis|TS13|SU1074|1.00|Sin|NotDho
Karkotis|TS13|SU1075|1.00|Chu|NotDho
Karkotis|TS13|SU1076|1.00|BlFr|NotDho
Karkotis|TS13|SU1076|1.00|F-2|NotDho
Karkotis|TS13|SU1076|2.00|Gen|NotDho
Karkotis|TS13|SU1077|5.00|Chu|NotDho
Karkotis|TS13|SU1077|3.00|F-2|NotDho
Karkotis|TS13|SU1077|1.00|Frg|NotDho
Karkotis|TS13|SU1077|5.00|Gen|NotDho
Karkotis|TS13|SU1077|1.00|Notsing|NotDho
Karkotis|TS13|SU1078|2.00|Amp|NotDho
Karkotis|TS13|SU1078|3.00|Chu|NotDho
Karkotis|TS13|SU1078|3.00|F-2|NotDho
Karkotis|TS13|SU1078|3.00|Frg|NotDho
Karkotis|TS13|SU1078|1.00|Gen|NotDho
Karkotis|TS13|SU1078|1.00|Tes|NotDho
Karkotis|TS09|SU1079|1.00||NotDho
Karkotis|TS09|SU1092|1.00|Gen|NotDho
Karkotis|TS09|SU1094|1.00|PRj|NotDho
Karkotis||SU1096|1.00||NotDho
Karkotis|TS09|SU1097|5.00||NotDho
Karkotis|TS09|SU1098|3.00||NotDho
Karkotis|TS09|SU1098|1.00|Cha|NotDho
Karkotis|TS09|SU1099|2.00||NotDho
Karkotis|TS09|SU1099|3.00|Chu|NotDho
Karkotis|TS09|SU1099|1.00|Dir|NotDho
Karkotis|TS09|SU1099|1.00|End|NotDho
Karkotis|TS09|SU1099|2.00|F-3|NotDho
Karkotis|TS09|SU1099|3.00|Frg|NotDho
Karkotis|TS09|SU1099|1.00|Gen|NotDho
Karkotis|TS11|SU1302|1.00|Dho|Dho
Karkotis|TS11|SU1302|1.00|Tes|NotDho
Karkotis|TS11|SU1303|2.00||NotDho
Karkotis|TS11|SU1303|1.00|F-2|NotDho
Karkotis|TS11|SU1303|1.00|Gen|NotDho
Karkotis|TS11|SU1304|1.00|Sin|NotDho
Karkotis||SU1305|3.00||NotDho
Karkotis||SU1305|1.00|Abr|NotDho
Karkotis||SU1305|1.00|Chu|NotDho
Karkotis||SU1305|1.00|Gen|NotDho
Karkotis||SU1305|1.00|Tes|NotDho
Karkotis||SU1306|1.00||NotDho
Karkotis||SU1306|1.00|F-2|NotDho
Karkotis||SU1306|1.00|Frg|NotDho
Karkotis||SU1306|4.00|Gen|NotDho
Karkotis||SU1306|1.00|Tes|NotDho
Karkotis||SU1307|2.00||NotDho
Karkotis||SU1307|1.00|Bor|NotDho
Karkotis||SU1308|1.00|Chu|NotDho
Karkotis||SU1308|1.00|Dho|Dho
Karkotis||SU1308|1.00|Gen|NotDho
Karkotis||SU1314|3.00||NotDho
Karkotis||SU1315|1.00||NotDho
Karkotis||SU1316|1.00|BlFr|NotDho
Karkotis||SU1316|1.00|Frg|NotDho
Karkotis||SU1316|1.00|Rec|NotDho
Karkotis||SU1317|1.00||NotDho
Karkotis||SU1317|1.00|Alt|NotDho
Karkotis||SU1317|1.00|Dho|Dho
Karkotis||SU1318|2.00|Dho|Dho
Karkotis||SU1319|1.00|Dho|Dho
Karkotis||SU1320|1.00|Abr|NotDho
Karkotis||SU1321|1.00|Chu|NotDho
Karkotis||SU1321|1.00|SpP|NotDho
Karkotis||SU1322|1.00|Abr|NotDho
Karkotis||SU1322|1.00|Amp|NotDho
Karkotis||SU1322|1.00|Dho|Dho
Karkotis||SU1325|1.00||NotDho
Karkotis||SU1326|1.00|Amp|NotDho
